package,file,line,original_pattern,fixed_pattern,fix_type,verified,speedup_factor,semantics_preserved,explanation
sqlalchemy,sqlalchemy-2.0.49/lib/sqlalchemy/dialects/sqlite/base.py,2420,"create table .*?\((.*)\)(?:\s*,?\s*(?:WITHOUT\s+ROWID|STRICT))*$","create table .*?\((.*)\)(?>[\s]*,?[\s]*(?:WITHOUT[\s]+ROWID|STRICT))*$",atomic_group,True,1.2,True,"Dangerous repeating group(s) wrapped with atomic-group syntax (?>...). Warning class: NESTED_QUANTIFIER. Atomic groups prevent the engine from reconsidering what the group matched once it has committed, eliminating exponential backtracking. NOTE: sre_parse normalises escape sequences (\s→[\s] etc.);"
sqlalchemy,sqlalchemy-2.0.49/lib/sqlalchemy/util/langhelpers.py,1908,"sqlalchemy/([a-z_]+/){0,2}[a-z_]+\.py","sqlalchemy/((?>[a-z_]+/)){0,2}[a-z_]+\.py",atomic_group,True,1.7,True,"Dangerous repeating group(s) wrapped with atomic-group syntax (?>...). Warning class: NESTED_QUANTIFIER. Atomic groups prevent the engine from reconsidering what the group matched once it has committed, eliminating exponential backtracking. NOTE: sre_parse normalises escape sequences (\s→[\s] etc.);"
pydantic,pydantic-2.12.5/pydantic/json_schema.py,2219,(?:[^.[\]]+\.)+((?:[^.[\]]+)),(?>[^.[\]]+\.)+([^.[\]]+),atomic_group,True,1.0,True,"Dangerous repeating group(s) wrapped with atomic-group syntax (?>...). Warning class: NESTED_QUANTIFIER. Atomic groups prevent the engine from reconsidering what the group matched once it has committed, eliminating exponential backtracking. NOTE: sre_parse normalises escape sequences (\s→[\s] etc.);"
pytest,pytest-9.0.2/src/_pytest/mark/expression.py,113,(:?\w|:|\+|-|\.|\[|\]|\\|/)+,((?>:?[\w]|:|\+|-|\.|\[|\]|\\|/))+,atomic_group,True,1.2,True,"Dangerous repeating group(s) wrapped with atomic-group syntax (?>...). Warning class: LIKELY_TYPO. Atomic groups prevent the engine from reconsidering what the group matched once it has committed, eliminating exponential backtracking. NOTE: sre_parse normalises escape sequences (\s→[\s] etc.); the f"
numpy,numpy-2.4.4/numpy/distutils/fcompiler/ibm.py,42,xlfcmp:(?P<version>\d+([.]\d+)+),xlfcmp:([\d]+((?>\.[\d]+))+),atomic_group,True,1.3,True,"Dangerous repeating group(s) wrapped with atomic-group syntax (?>...). Warning class: NESTED_QUANTIFIER. Atomic groups prevent the engine from reconsidering what the group matched once it has committed, eliminating exponential backtracking. NOTE: sre_parse normalises escape sequences (\s→[\s] etc.);"
numpy,numpy-2.4.4/numpy/f2py/crackfortran.py,934,"\s*(?P<name>\b[\w$]+\b)\s*(@\(@\s*(?P<args>[\w\s,]*)\s*@\)@|)\s*((result(\s*@\(@\s*(?P<result>\b[\w$]+\b)\s*@\)@|))|(bind\s*@\(@\s*(?P<bind>(?:(?!@\)@).)*)\s*@\)@))*\s*\Z","[\s]*(\b[\w$]+\b)[\s]*(@\(@[\s]*([\w\s,]*)[\s]*@\)@|)[\s]*((?>(result([\s]*@\(@[\s]*(\b[\w$]+\b)[\s]*@\)@|))|(bind[\s]*@\(@[\s]*((?:?.)*)[\s]*@\)@)))*[\s]*",manual_review,False,,,Generated fix does not compile (nothing to repeat at position 132); manual review needed.
numpy,numpy-2.4.4/tools/c_coverage/c_coverage_report.py,119,(?P<lineno>[0-9]+)(\s[0-9]+)+,([0-9]+)((?>[\s][0-9]+))+,atomic_group,True,0.3,True,"Dangerous repeating group(s) wrapped with atomic-group syntax (?>...). Warning class: NESTED_QUANTIFIER. Atomic groups prevent the engine from reconsidering what the group matched once it has committed, eliminating exponential backtracking. NOTE: sre_parse normalises escape sequences (\s→[\s] etc.);"
numpy,numpy-2.4.4/tools/check_python_h_first.py,15,"^\s*#\s*include\s*[<""]((?:\w+/)*\w+(?:\.h[hp+]{0,2})?)[>""]\s*$","^[\s]*#[\s]*include[\s]*[<""]((?>[\w]+/)*[\w]+(?:\.h[hp+]{0,2})?)[>""][\s]*$",atomic_group,True,1.2,True,"Dangerous repeating group(s) wrapped with atomic-group syntax (?>...). Warning class: NESTED_QUANTIFIER. Atomic groups prevent the engine from reconsidering what the group matched once it has committed, eliminating exponential backtracking. NOTE: sre_parse normalises escape sequences (\s→[\s] etc.);"
numpy,numpy-2.4.4/vendored-meson/meson/docs/extensions/refman_links.py,86,(\[\[#?@?([ \n\t]*[a-zA-Z0-9_]+[ \n\t]*\.)*[ \n\t]*[a-zA-Z0-9_]+[ \n\t]*\]\])(.)?,"(\[\[#?@?((?>[ 
	]*[a-zA-Z0-9_]+[ 
	]*\.))*[ 
	]*[a-zA-Z0-9_]+[ 
	]*\]\])(.)?",atomic_group,True,1.5,True,"Dangerous repeating group(s) wrapped with atomic-group syntax (?>...). Warning class: NESTED_QUANTIFIER. Atomic groups prevent the engine from reconsidering what the group matched once it has committed, eliminating exponential backtracking. NOTE: sre_parse normalises escape sequences (\s→[\s] etc.);"
numpy,numpy-2.4.4/vendored-meson/meson/mesonbuild/backend/backends.py,355,[.][a]([.]?([0-9]+))*([.]?([a-z]+))*,\.a((?>\.?([0-9]+)))*((?>\.?([a-z]+)))*,atomic_group,True,1.5,True,"Dangerous repeating group(s) wrapped with atomic-group syntax (?>...). Warning class: NESTED_QUANTIFIER. Atomic groups prevent the engine from reconsidering what the group matched once it has committed, eliminating exponential backtracking. NOTE: sre_parse normalises escape sequences (\s→[\s] etc.);"
